SID,model
SID-112184,Senographe Essential VERSION ADS_54.11
SID-112195,Senographe Essential VERSION ADS_54.11
SID-112202,Senograph DS VERSION ADS_54.11
SID-112204,Senographe Essential VERSION ADS_54.11
SID-112231,Senographe Essential VERSION ADS_54.11
SID-112240,Senographe Essential VERSION ADS_54.11
SID-112302,Senographe Essential VERSION ADS_54.11
SID-112304,Senographe Essential VERSION ADS_54.11
SID-112336,Senograph DS VERSION ADS_54.11
SID-112339,Senographe Essential VERSION ADS_54.11
SID-112340,Senographe Essential VERSION ADS_54.11
SID-112364,Senograph DS VERSION ADS_54.11
SID-112376,Senographe Essential VERSION ADS_54.11
SID-112380,Senograph DS VERSION ADS_54.11
SID-112382,Senographe Essential VERSION ADS_54.11
SID-112402,Senographe Essential VERSION ADS_54.11
SID-112448,Senograph DS VERSION ADS_54.11
SID-112467,Senographe Essential VERSION ADS_54.11
SID-112502,Senographe Essential VERSION ADS_54.11
SID-112514,Senograph DS VERSION ADS_54.11
SID-112559,Senographe Essential VERSION ADS_54.11
SID-112576,Senographe Essential VERSION ADS_54.11
SID-112577,Senographe Essential VERSION ADS_54.11
SID-112586,Senographe Essential VERSION ADS_54.11
SID-112591,Senograph DS VERSION ADS_54.11
SID-112596,Senograph DS ADS_43.10.1
SID-112619,Senograph DS VERSION ADS_54.11
SID-112723,Senograph DS VERSION ADS_54.11
SID-112735,Senograph DS VERSION ADS_54.11
SID-112750,Senographe Essential VERSION ADS_54.11
SID-112778,Senograph DS VERSION ADS_54.11
SID-112814,Senograph DS VERSION ADS_54.11
SID-112865,Senographe Essential VERSION ADS_54.11
SID-112883,Senograph DS ADS_43.10.1
SID-112898,Senograph DS VERSION ADS_54.11
SID-112934,Senographe Essential VERSION ADS_54.11
SID-112941,Senograph DS VERSION ADS_54.11
SID-112960,Senographe Essential VERSION ADS_54.11
SID-112988,Senographe Essential VERSION ADS_54.11
SID-112996,Senographe Essential VERSION ADS_54.11
SID-113052,Senograph DS VERSION ADS_54.11
SID-113096,Senograph DS VERSION ADS_54.11
SID-113129,Senographe Essential VERSION ADS_54.11
SID-113185,Senographe Essential VERSION ADS_54.11
SID-113186,Senographe Essential VERSION ADS_54.11
SID-113191,Senographe Essential VERSION ADS_54.11
SID-113227,Senograph DS VERSION ADS_54.11
SID-113241,Senograph DS VERSION ADS_54.11
SID-113271,Senographe Essential VERSION ADS_54.11
SID-113293,Senographe Essential VERSION ADS_54.11
SID-113334,Senographe Essential VERSION ADS_54.11
SID-113386,Senographe Essential VERSION ADS_54.11
SID-113446,Senographe Essential VERSION ADS_54.11
SID-113533,Senographe Essential VERSION ADS_54.11
SID-113632,Senographe Essential VERSION ADS_54.11
SID-113649,Senographe Essential VERSION ADS_54.11
SID-113743,Senographe Essential VERSION ADS_54.11
SID-113772,Senographe Essential VERSION ADS_54.11
SID-113843,Senographe Essential VERSION ADS_54.11
SID-113845,Senograph DS VERSION ADS_54.11
SID-113850,Senograph DS VERSION ADS_54.11
SID-113860,Senographe Essential VERSION ADS_54.11
SID-114018,Senograph DS VERSION ADS_54.11
SID-114042,Senographe Essential VERSION ADS_54.11
SID-114100,Senograph DS VERSION ADS_54.11
SID-114107,Senographe Essential VERSION ADS_54.11
SID-114116,Senographe Essential VERSION ADS_54.11
SID-114182,Senograph DS ADS_43.10.1
SID-114203,Senographe Essential VERSION ADS_54.11
SID-114303,Senographe Essential VERSION ADS_54.11
SID-114308,Senographe Essential VERSION ADS_54.11
SID-114358,Senograph DS VERSION ADS_54.11
SID-114379,Senographe Essential VERSION ADS_54.11
SID-114390,Senographe Essential VERSION ADS_54.11
SID-114404,Senograph DS VERSION ADS_54.11
SID-114410,Senographe Essential VERSION ADS_54.11
SID-114474,Senograph DS VERSION ADS_54.11
SID-114507,Senograph DS VERSION ADS_54.11
SID-114523,Senographe Essential VERSION ADS_54.11
SID-114533,Senograph DS VERSION ADS_54.11
SID-114534,Senographe Essential VERSION ADS_54.11
SID-114554,Senographe Essential VERSION ADS_54.11
SID-114558,Senograph DS VERSION ADS_54.11
SID-114569,Senograph DS VERSION ADS_54.11
SID-114573,Senographe Essential VERSION ADS_54.11
SID-114597,Senographe Essential VERSION ADS_54.11
SID-114603,Senographe Essential VERSION ADS_54.11
SID-114625,Senograph DS VERSION ADS_54.11
SID-114626,Senograph DS VERSION ADS_54.11
SID-114628,Senographe Essential VERSION ADS_54.11
SID-114642,Senograph DS VERSION ADS_54.11
SID-114650,Senograph DS VERSION ADS_54.11
SID-114655,Senograph DS ADS_43.10.1
SID-114688,Senograph DS VERSION ADS_54.11
SID-114706,Senograph DS ADS_43.10.1
SID-114718,Senograph DS VERSION ADS_54.11
SID-114727,Senograph DS VERSION ADS_54.11
SID-114729,Senograph DS ADS_43.10.1
SID-114746,Senographe Essential VERSION ADS_54.11
SID-114749,Senograph DS VERSION ADS_54.11
SID-114758,Senographe Essential VERSION ADS_54.11
SID-114799,Senograph DS VERSION ADS_54.11
SID-114831,Senograph DS VERSION ADS_54.11
SID-114839,Senograph DS VERSION ADS_54.11
SID-114860,Senographe Essential VERSION ADS_54.11
SID-114894,Senograph DS VERSION ADS_54.11
SID-114900,Senographe Essential VERSION ADS_54.11
SID-114920,Senographe Essential VERSION ADS_54.11
SID-114921,Senograph DS ADS_43.10.1
SID-114952,Senographe Essential VERSION ADS_54.11
SID-114968,Senographe Essential VERSION ADS_54.11
SID-115027,Senographe Essential VERSION ADS_54.11
SID-115045,Senograph DS ADS_43.10.1
SID-115057,Senograph DS VERSION ADS_54.11
SID-115072,Senograph DS VERSION ADS_54.11
SID-115152,Senograph DS ADS_43.10.1
SID-115158,Senograph DS VERSION ADS_54.11
SID-115168,Senographe Essential VERSION ADS_54.11
SID-115206,Senograph DS VERSION ADS_54.11
SID-115210,Senographe Essential VERSION ADS_54.11
SID-115222,Senograph DS ADS_43.10.1
SID-115272,Senographe Essential VERSION ADS_54.11
SID-115279,Senograph DS VERSION ADS_54.11
SID-115286,Senographe Essential VERSION ADS_54.11
SID-115298,Senographe Essential VERSION ADS_54.11
SID-115299,Senographe Essential VERSION ADS_54.11
SID-115305,Senograph DS ADS_43.10.1
SID-115306,Senograph DS VERSION ADS_54.11
SID-115313,Senograph DS VERSION ADS_54.11
SID-115324,Senographe Essential VERSION ADS_54.11
